PFAS_Name,CASRN,PFAS_Class,Chain_Length,MW,LogKow,Species,Species_Group,Trophic_Level,Is_Aquatic,is_fish,is_mammal,is_plant,is_human,PFAS_Class_encoded,Tissue,Exposure Route,Duration_days,Concentration_ng_g,log_concentration,BCF,log_BCF,Study Year
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,610.0,2.785329835010767,17.3,1.2380461031287955,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,610.0,2.785329835010767,18.0,1.255272505103306,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,610.0,2.785329835010767,18.4,1.2648178230095364,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,5050.0,3.7032913781186614,18.5,1.2671717284030137,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,3130.0,3.4955443375464483,18.5,1.2671717284030137,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,610.0,2.785329835010767,21.1,1.3242824552976926,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1160.0,3.0644579892269186,26.5,1.423245873936808,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,5050.0,3.7032913781186614,36.1,1.557507201905658,2025
,30334-69-1,,,,,Water Flea,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,9850.0,3.9934362304976116,47.9,1.6803355134145632,2025
,30334-69-1,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,14058.217,4.147930242720485,0.8,-0.09691001300805639,2022
PFHpA,375-85-9,Carboxylate,7.0,364.1,4.55,Mussel,Other,2,0,0,0,0,0,1.0,Gill(s),Static,,36.4063,1.561176543497663,,,2006
,151772-58-6,,,,,"Hirame, Flounder",Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,0.23,-0.638272163982407,57.0,1.7558748556724915,2025
,151772-58-6,,,,,"Hirame, Flounder",Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,510.0,2.7075701760979363,99.0,1.99563519459755,2025
,151772-58-6,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,1098.3314019999998,3.0407334005367876,2.0,0.3010299956639812,2021
,151772-58-6,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Renewal,,97.695246,1.9898734307996295,2.1,0.3222192947339193,2021
,151772-58-6,,,,,Zebra Danio,Other,2,0,0,0,0,0,-1.0,Whole organism,Static,,470.0,2.6720978579357175,130.0,2.113943352306837,2025
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Asian Water Plantain,Other,2,0,0,0,0,0,1.0,Root,Hydroponic,,480.0,2.681241237375587,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Asian Water Plantain,Other,2,0,0,0,0,0,1.0,Leafneedle,Hydroponic,,480.0,2.681241237375587,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Asian Water Plantain,Other,2,0,0,0,0,0,1.0,Stem,Hydroponic,,480.0,2.681241237375587,,,2022
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Mouse-Ear Cress,Mammal,4,0,0,1,0,0,1.0,Whole organism,Culture medium,,5000.0,3.6989700043360187,,,2020
PFOA,335-67-1,Carboxylate,8.0,414.1,5.3,Mouse-Ear Cress,Mammal,4,0,0,1,0,0,1.0,Whole organism,Culture medium,,20000.0,4.301029995663981,,,2020
